Year,Yield Anomaly
1961,-155271.29032258064
1962,-166283.29032258064
1963,-153635.29032258064
1964,-148150.29032258064
1965,-153675.29032258064
1966,-122832.29032258064
1967,-113370.29032258064
1968,-87328.29032258064
1969,-135820.29032258064
1970,-97145.29032258064
1971,-121093.29032258064
1972,-48843.29032258064
1973,-91525.29032258064
1974,-87275.29032258064
1975,-82942.29032258064
1976,-88775.29032258064
1977,-79875.29032258064
1978,-91075.29032258064
1979,-89234.29032258064
1980,-91275.29032258064
1981,-90455.29032258064
1982,-53418.29032258064
1983,-89442.29032258064
1984,-85006.29032258064
1985,-71881.29032258064
1986,-51100.29032258064
1987,-53029.29032258064
1988,-67275.29032258064
1989,-55591.29032258064
1990,-31012.290322580637
1991,-31087.290322580637
1992,-52820.29032258064
1993,-2597.2903225806367
1994,1349.7096774193633
1995,26358.709677419363
1996,29778.709677419363
1997,50829.70967741936
1998,76391.70967741936
1999,84269.70967741936
2000,85260.70967741936
2001,80685.70967741936
2002,92871.70967741936
2003,98688.70967741936
2004,114805.70967741936
2005,102258.70967741936
2006,100374.70967741936
2007,99314.70967741936
2008,108724.70967741936
2009,108102.70967741936
2010,110770.70967741936
2011,118260.70967741936
2012,119162.70967741936
2013,121419.70967741936
2014,121820.70967741936
2015,126851.70967741936
2016,128700.70967741936
2017,129481.70967741936
2018,132564.70967741936
2019,139086.70967741936
2020,141215.70967741936
2021,143985.70967741936
2022,146755.70967741936
